id;building;year;retrofit;construction_type;night_setback;area;heater;cooling;EV;f_TES;f_BAT;f_PV1;f_PV2;f_STC;gamma_PV;ev_charging;nb_flats;nb_occ_per_flat
7783;AB;1973;0;2;0;5401;BOI;0;0;3;0;0;0;0;0;on_demand;64;2
8591;AB;1973;0;2;0;5401;BOI;0;0;3;0;0;0;0;0;on_demand;64;3
9399;AB;1973;0;2;0;5401;BOI;0;0;3;0;0;0;0;0;on_demand;64;3
7175;AB;1973;0;2;0;3799;BOI;0;0;3;0;0;0;0;0;on_demand;40;2
